function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
factors,large,1.5,128,0.000028,.000090,622,601,600.948000,.052000,112.400000,112.349200,.050800,10
fast_fourier_transform,small,1.5,128,0.193513,.000262,456,631,620.948000,10.052000,295.400000,287.603000,7.797000,10
fast_fourier_transform,medium,1.5,128,0.193516,.000262,456,631,620.948000,10.052000,625.200000,301.754600,323.445400,10
fast_fourier_transform,large,1.5,128,0.193513,.000262,456,631,620.948000,10.052000,332.800000,322.682800,10.117200,10
gen_int,small,1.5,128,0.000041,.000090,620,865,853.256000,11.744000,278.600000,270.089800,8.510200,10
gen_int,medium,1.5,128,0.000041,.000091,620,865,853.256000,11.744000,328.300000,320.575700,7.724300,10
gen_int,large,1.5,128,0.000043,.000091,620,865,853.256000,11.744000,304.400000,298.586600,5.813400,10
gen_list,small,1.5,128,0.000041,.193575,522,714,706.398000,7.602000,313.700000,303.502700,10.197300,10
gen_list,medium,1.5,128,0.000041,.193575,522,714,706.398000,7.602000,319.900000,311.311700,8.588300,10
gen_list,large,1.5,128,0.000042,.193575,522,714,706.398000,7.602000,346.700000,338.270100,8.429900,10
gen_matrix_a,small,1.5,128,0.000041,.023845,732,803,791.968000,11.032000,332.200000,323.208400,8.991600,10
gen_matrix_a,medium,1.5,128,0.000041,.100460,732,803,791.968000,11.032000,348.000000,341.044400,6.955600,10
gen_matrix_a,large,1.5,128,0.000042,.559054,732,803,791.968000,11.032000,325.400000,318.496700,6.903300,10
gen_matrix_b,small,1.5,128,0.000041,.023833,742,863,844.201000,18.799000,315.800000,309.599800,6.200200,10
gen_matrix_b,medium,1.5,128,0.000041,.100465,742,863,844.201000,18.799000,300.800000,293.954600,6.845400,10
gen_matrix_b,large,1.5,128,0.000042,.559083,742,863,844.201000,18.799000,331.100000,324.600200,6.499800,10
linpack,small,1.5,128,0.200836,.000098,882,864,861.158000,2.842000,334.000000,326.573400,7.426600,10
linpack,medium,1.5,128,0.200742,.000098,882,864,861.158000,2.842000,553.500000,316.277300,237.222700,10
linpack,large,1.5,128,0.200804,.000098,882,864,861.158000,2.842000,298.300000,286.613600,11.686400,10
matrix_multiplication,small,1.5,128,0.200836,.097341,701,918,911.24000,6.76000,341.500000,330.009700,11.490300,10
matrix_multiplication,medium,1.5,128,0.200742,.097317,701,918,911.24000,6.76000,553.900000,330.236000,223.664000,10
matrix_multiplication,large,1.5,128,0.200804,.097273,701,918,911.24000,6.76000,348.500000,341.665800,6.834200,10
